
slt,stt,stt,stt,stt,stt,stt,srt,grs,grs,grs,grs,grs,grs,slt,stt,stt,stt,stt,stt,stt,srt
stl,grs,sto,grs,sto,grs,sto,str,grs,grs,grs,grs,grs,grs,stl,grs,sto,grs,sto,grs,sto,str
stl,sto,grs,sto,grs,sto,grs,str,grs,grs,grs,grs,grs,grs,stl,sto,grs,sto,grs,sto,grs,str
stl,grs,sto,grs,sto,grs,sto,str,grs,grs,grs,grs,grs,grs,stl,grs,sto,grs,sto,grs,sto,str
stl,sto,grs,sto,grs,sto,grs,str,grs,grs,grs,grs,grs,grs,stl,sto,grs,sto,grs,sto,grs,str
stl,grs,sto,grs,sto,grs,sto,str,grs,grs,grs,grs,grs,grs,stl,grs,sto,grs,sto,grs,sto,str
stl,sto,grs,sto,grs,sto,grs,str,grs,grs,grs,grs,grs,grs,stl,sto,grs,sto,grs,sto,grs,str
slb,stb,stb,stb,stb,stb,stb,srb,grs,grs,grs,grs,grs,grs,slb,stb,stb,stb,stb,stb,stb,srb
slt,stt,stt,stt,stt,stt,stt,srt,grs,grs,grs,grs,grs,grs,slt,stt,stt,stt,stt,stt,stt,srt
stl,grs,sto,grs,sto,grs,sto,str,grs,grs,grs,grs,grs,grs,stl,grs,sto,grs,sto,grs,sto,str
stl,sto,grs,sto,grs,sto,grs,str,grs,grs,grs,grs,grs,grs,stl,sto,grs,sto,grs,sto,grs,str
stl,grs,sto,grs,sto,grs,sto,str,grs,grs,grs,grs,grs,grs,stl,grs,sto,grs,sto,grs,sto,str
stl,sto,grs,sto,grs,sto,grs,str,grs,grs,grs,grs,grs,grs,stl,sto,grs,sto,grs,sto,grs,str
stl,grs,sto,grs,sto,grs,sto,str,grs,grs,grs,grs,grs,grs,stl,grs,sto,grs,sto,grs,sto,str
stl,sto,grs,sto,grs,sto,grs,str,grs,grs,grs,grs,grs,grs,stl,sto,grs,sto,grs,sto,grs,str
slb,stb,stb,stb,stb,stb,stb,srb,grs,grs,grs,grs,grs,grs,slb,stb,stb,stb,stb,stb,stb,srb
